iter	MultiClass
0	1.245485197
1	1.149786059
2	1.056244161
3	0.9736428482
4	0.8988073122
5	0.8436499702
6	0.7931516969
7	0.7397846632
8	0.6950282055
9	0.6512957026
10	0.6174388139
11	0.5905022189
12	0.5575535442
13	0.5272222868
14	0.5005831337
15	0.4809737067
16	0.4627762005
17	0.4437395181
18	0.4291664168
19	0.4103219789
20	0.3957910068
21	0.3801493897
22	0.3702966252
23	0.3589909738
24	0.348410065
25	0.3373577702
26	0.3270072456
27	0.3176917206
28	0.3075986325
29	0.2992177725
30	0.2913687718
31	0.2847798725
32	0.2757699577
33	0.2706972034
34	0.2641156068
35	0.257060171
36	0.2505612026
37	0.2436208565
38	0.2386781626
39	0.2351265779
40	0.2305728302
41	0.2251326385
42	0.2216733617
43	0.2183795577
44	0.2142064598
45	0.2108378353
46	0.2077328116
47	0.2037316399
48	0.201119157
49	0.198041754
50	0.1947141166
51	0.1922867895
52	0.1894079399
53	0.1857951353
54	0.183011094
55	0.1808291542
56	0.176881295
57	0.1747370751
58	0.1709511081
59	0.1688983685
60	0.1672682787
61	0.1644482198
62	0.1621547462
63	0.1601809038
64	0.1584905735
65	0.1560303963
66	0.1534764447
67	0.1509866541
68	0.1493019196
69	0.1474432503
70	0.1464354503
71	0.1448304297
72	0.1425862974
73	0.1405545622
74	0.1385979264
75	0.1369295247
76	0.1352572547
77	0.1337050945
78	0.1324110718
79	0.1310581599
80	0.1297493905
81	0.127950498
82	0.12565784
83	0.123605013
84	0.1221718533
85	0.1207222541
86	0.1198262951
87	0.1189875256
88	0.1174433744
89	0.1157198433
90	0.1139889019
91	0.1131053888
92	0.111520553
93	0.1104407751
94	0.1096004033
95	0.1082718498
96	0.1076222642
97	0.1064579712
98	0.1052546653
99	0.1041495402
100	0.1032198107
101	0.1025772977
102	0.1020534743
103	0.1005959882
104	0.09921037274
105	0.09830645271
106	0.0973597963
107	0.09647075315
108	0.09533335191
109	0.09397776417
110	0.09303741761
111	0.09213949557
112	0.09095349766
113	0.09025200629
114	0.08928538677
115	0.08838176019
116	0.08780116561
117	0.08712251536
118	0.08643711716
119	0.08560771526
120	0.08520828355
121	0.0845899167
122	0.08345930444
123	0.08297007499
124	0.08196541784
125	0.08124273942
126	0.08067164501
127	0.08018722815
128	0.07996309575
129	0.07943180146
130	0.07909951983
131	0.07866087568
132	0.0782423284
133	0.07782711139
134	0.076973917
135	0.07627043889
136	0.07587827132
137	0.0753445257
138	0.0748407096
139	0.07446539151
140	0.07415170791
141	0.07354735774
142	0.07314161784
143	0.07251250339
144	0.07216585865
145	0.07182998797
146	0.07146055329
147	0.07068398701
148	0.06999179073
149	0.06937895879
150	0.0690077245
151	0.06883379036
152	0.06835865742
153	0.06802583789
154	0.06746574063
155	0.06675438481
156	0.06645269154
157	0.06590919423
158	0.06548269644
159	0.06494828899
160	0.06453771994
161	0.06416321834
162	0.06374237205
163	0.06329788692
164	0.06283119714
165	0.06241003459
166	0.06194922569
167	0.06150393501
168	0.0608979442
169	0.0606763845
170	0.06040113851
171	0.06012407019
172	0.05971192441
173	0.05925748373
174	0.05879565555
175	0.05856974498
176	0.05831173302
177	0.05816710657
178	0.05780928861
179	0.05745186646
180	0.05732321461
181	0.05690196902
182	0.05632587944
183	0.05602286786
184	0.05577563601
185	0.05563412983
186	0.05520938918
187	0.05477444324
188	0.0544524076
189	0.05413802303
190	0.05381380961
191	0.05368322631
192	0.05355893678
193	0.05326893873
194	0.05288956383
195	0.05262465735
196	0.05243527579
197	0.05230912637
198	0.0520684762
199	0.05178297176
